date,year,month,day,week,day_of_week
30-08-2023,2023,8,30,35,2
31-08-2023,2023,8,31,35,3
01-09-2023,2023,9,1,35,4
02-09-2023,2023,9,2,35,5
03-09-2023,2023,9,3,35,6
04-09-2023,2023,9,4,36,0
05-09-2023,2023,9,5,36,1
06-09-2023,2023,9,6,36,2
07-09-2023,2023,9,7,36,3
08-09-2023,2023,9,8,36,4
09-09-2023,2023,9,9,36,5
10-09-2023,2023,9,10,36,6
11-09-2023,2023,9,11,37,0
12-09-2023,2023,9,12,37,1
13-09-2023,2023,9,13,37,2
14-09-2023,2023,9,14,37,3
15-09-2023,2023,9,15,37,4
16-09-2023,2023,9,16,37,5
17-09-2023,2023,9,17,37,6
18-09-2023,2023,9,18,38,0
19-09-2023,2023,9,19,38,1
20-09-2023,2023,9,20,38,2
21-09-2023,2023,9,21,38,3
22-09-2023,2023,9,22,38,4
23-09-2023,2023,9,23,38,5
24-09-2023,2023,9,24,38,6
25-09-2023,2023,9,25,39,0
26-09-2023,2023,9,26,39,1
27-09-2023,2023,9,27,39,2
28-09-2023,2023,9,28,39,3
29-09-2023,2023,9,29,39,4
30-09-2023,2023,9,30,39,5
01-10-2023,2023,10,1,39,6
02-10-2023,2023,10,2,40,0
03-10-2023,2023,10,3,40,1
04-10-2023,2023,10,4,40,2
05-10-2023,2023,10,5,40,3
06-10-2023,2023,10,6,40,4
07-10-2023,2023,10,7,40,5
08-10-2023,2023,10,8,40,6
09-10-2023,2023,10,9,41,0
10-10-2023,2023,10,10,41,1
11-10-2023,2023,10,11,41,2
12-10-2023,2023,10,12,41,3
13-10-2023,2023,10,13,41,4
14-10-2023,2023,10,14,41,5
15-10-2023,2023,10,15,41,6
16-10-2023,2023,10,16,42,0
17-10-2023,2023,10,17,42,1
18-10-2023,2023,10,18,42,2
19-10-2023,2023,10,19,42,3
20-10-2023,2023,10,20,42,4
21-10-2023,2023,10,21,42,5
22-10-2023,2023,10,22,42,6
23-10-2023,2023,10,23,43,0
24-10-2023,2023,10,24,43,1
25-10-2023,2023,10,25,43,2
26-10-2023,2023,10,26,43,3
27-10-2023,2023,10,27,43,4
28-10-2023,2023,10,28,43,5
29-10-2023,2023,10,29,43,6
30-10-2023,2023,10,30,44,0
31-10-2023,2023,10,31,44,1
01-11-2023,2023,11,1,44,2
02-11-2023,2023,11,2,44,3
03-11-2023,2023,11,3,44,4
04-11-2023,2023,11,4,44,5
05-11-2023,2023,11,5,44,6
06-11-2023,2023,11,6,45,0
07-11-2023,2023,11,7,45,1
08-11-2023,2023,11,8,45,2
09-11-2023,2023,11,9,45,3
10-11-2023,2023,11,10,45,4
11-11-2023,2023,11,11,45,5
12-11-2023,2023,11,12,45,6
13-11-2023,2023,11,13,46,0
14-11-2023,2023,11,14,46,1
15-11-2023,2023,11,15,46,2
16-11-2023,2023,11,16,46,3
17-11-2023,2023,11,17,46,4
18-11-2023,2023,11,18,46,5
19-11-2023,2023,11,19,46,6
20-11-2023,2023,11,20,47,0
21-11-2023,2023,11,21,47,1
22-11-2023,2023,11,22,47,2
23-11-2023,2023,11,23,47,3
24-11-2023,2023,11,24,47,4
25-11-2023,2023,11,25,47,5
26-11-2023,2023,11,26,47,6
27-11-2023,2023,11,27,48,0
28-11-2023,2023,11,28,48,1
29-11-2023,2023,11,29,48,2
30-11-2023,2023,11,30,48,3
01-12-2023,2023,12,1,48,4
02-12-2023,2023,12,2,48,5
03-12-2023,2023,12,3,48,6
04-12-2023,2023,12,4,49,0
05-12-2023,2023,12,5,49,1
06-12-2023,2023,12,6,49,2
07-12-2023,2023,12,7,49,3
08-12-2023,2023,12,8,49,4
09-12-2023,2023,12,9,49,5
10-12-2023,2023,12,10,49,6
11-12-2023,2023,12,11,50,0
12-12-2023,2023,12,12,50,1
13-12-2023,2023,12,13,50,2
14-12-2023,2023,12,14,50,3
15-12-2023,2023,12,15,50,4
16-12-2023,2023,12,16,50,5
17-12-2023,2023,12,17,50,6
18-12-2023,2023,12,18,51,0
19-12-2023,2023,12,19,51,1
20-12-2023,2023,12,20,51,2
21-12-2023,2023,12,21,51,3
22-12-2023,2023,12,22,51,4
23-12-2023,2023,12,23,51,5
24-12-2023,2023,12,24,51,6
25-12-2023,2023,12,25,52,0
26-12-2023,2023,12,26,52,1
27-12-2023,2023,12,27,52,2
28-12-2023,2023,12,28,52,3
29-12-2023,2023,12,29,52,4
30-12-2023,2023,12,30,52,5
31-12-2023,2023,12,31,52,6
01-01-2024,2024,1,1,1,0
02-01-2024,2024,1,2,1,1
03-01-2024,2024,1,3,1,2
04-01-2024,2024,1,4,1,3
05-01-2024,2024,1,5,1,4
06-01-2024,2024,1,6,1,5
07-01-2024,2024,1,7,1,6
08-01-2024,2024,1,8,2,0
09-01-2024,2024,1,9,2,1
10-01-2024,2024,1,10,2,2
11-01-2024,2024,1,11,2,3
12-01-2024,2024,1,12,2,4
13-01-2024,2024,1,13,2,5
14-01-2024,2024,1,14,2,6
15-01-2024,2024,1,15,3,0
16-01-2024,2024,1,16,3,1
17-01-2024,2024,1,17,3,2
18-01-2024,2024,1,18,3,3
19-01-2024,2024,1,19,3,4
20-01-2024,2024,1,20,3,5
21-01-2024,2024,1,21,3,6
22-01-2024,2024,1,22,4,0
23-01-2024,2024,1,23,4,1
24-01-2024,2024,1,24,4,2
25-01-2024,2024,1,25,4,3
26-01-2024,2024,1,26,4,4
27-01-2024,2024,1,27,4,5
28-01-2024,2024,1,28,4,6
29-01-2024,2024,1,29,5,0
30-01-2024,2024,1,30,5,1
31-01-2024,2024,1,31,5,2
01-02-2024,2024,2,1,5,3
02-02-2024,2024,2,2,5,4
03-02-2024,2024,2,3,5,5
04-02-2024,2024,2,4,5,6
05-02-2024,2024,2,5,6,0
06-02-2024,2024,2,6,6,1
07-02-2024,2024,2,7,6,2
08-02-2024,2024,2,8,6,3
09-02-2024,2024,2,9,6,4
10-02-2024,2024,2,10,6,5
11-02-2024,2024,2,11,6,6
12-02-2024,2024,2,12,7,0
13-02-2024,2024,2,13,7,1
14-02-2024,2024,2,14,7,2
15-02-2024,2024,2,15,7,3
16-02-2024,2024,2,16,7,4
17-02-2024,2024,2,17,7,5
18-02-2024,2024,2,18,7,6
19-02-2024,2024,2,19,8,0
20-02-2024,2024,2,20,8,1
21-02-2024,2024,2,21,8,2
22-02-2024,2024,2,22,8,3
